#AGE=10.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1     
 178  0.902180  3.7216  3.5326  0.7005  2.9626  3.4404  2.9757  2.7902  2.7270  2.6933  3.0307
 179  0.902475  3.7210  3.5155  0.7151  2.9266  3.4069  2.9403  2.7537  2.6897  2.6555  2.9953
 180  0.902766  3.7203  3.4986  0.7297  2.8905  3.3732  2.9047  2.7171  2.6524  2.6178  2.9597
 181  0.903052  3.7197  3.4817  0.7443  2.8544  3.3393  2.8691  2.6805  2.6152  2.5801  2.9240
 182  0.903336  3.7192  3.4648  0.7591  2.8180  3.3050  2.8331  2.6435  2.5776  2.5422  2.8880
 183  0.903620  3.7186  3.4479  0.7740  2.7810  3.2701  2.7966  2.6061  2.5396  2.5038  2.8515
 184  0.903904  3.7181  3.4309  0.7891  2.7436  3.2346  2.7597  2.5683  2.5012  2.4650  2.8145
 185  0.904187  3.7177  3.4140  0.8043  2.7060  3.1988  2.7225  2.5303  2.4626  2.4261  2.7773
 186  0.904470  3.7172  3.3970  0.8197  2.6680  3.1625  2.6849  2.4919  2.4238  2.3869  2.7397
 187  0.904753  3.7168  3.3799  0.8352  2.6296  3.1258  2.6469  2.4532  2.3845  2.3474  2.7017
 188  0.905036  3.7164  3.3625  0.8509  2.5907  3.0886  2.6084  2.4138  2.3446  2.3072  2.6631
 189  0.905317  3.7159  3.3450  0.8669  2.5512  3.0508  2.5693  2.3739  2.3043  2.2665  2.6240
 190  0.905597  3.7155  3.3273  0.8830  2.5111  3.0123  2.5296  2.3335  2.2633  2.2253  2.5842
 191  0.905877  3.7151  3.3092  0.8995  2.4703  2.9731  2.4892  2.2923  2.2216  2.1832  2.5438
 192  0.906156  3.7147  3.2911  0.9161  2.4293  2.9338  2.4487  2.2510  2.1797  2.1411  2.5032
 193  0.906430  3.7142  3.2721  0.9335  2.3863  2.8924  2.4061  2.2076  2.1357  2.0969  2.4605
 194  0.906698  3.7138  3.2519  0.9519  2.3406  2.8486  2.3608  2.1615  2.0891  2.0499  2.4152
